threshold:  0.206578826 ,cutoff:  0.995780590717 ,fpr:  0.0 ,tpr:  0.0042194092827
threshold:  0.206342437 ,cutoff:  0.991561181435 ,fpr:  0.0 ,tpr:  0.0084388185654
threshold:  0.20292297 ,cutoff:  0.987341772152 ,fpr:  0.0 ,tpr:  0.0126582278481
threshold:  0.19271976 ,cutoff:  0.983122362869 ,fpr:  0.0 ,tpr:  0.0168776371308
threshold:  0.185311336 ,cutoff:  0.978902953586 ,fpr:  0.0 ,tpr:  0.0210970464135
threshold:  0.171187379 ,cutoff:  0.974683544304 ,fpr:  0.0 ,tpr:  0.0253164556962
threshold:  0.168855733 ,cutoff:  0.970464135021 ,fpr:  0.0 ,tpr:  0.0295358649789
threshold:  0.167456835 ,cutoff:  0.966244725738 ,fpr:  0.0 ,tpr:  0.0337552742616
threshold:  0.166015098 ,cutoff:  0.962025316456 ,fpr:  0.0 ,tpr:  0.0379746835443
threshold:  0.165511003 ,cutoff:  0.957805907173 ,fpr:  0.0 ,tpr:  0.042194092827
threshold:  0.162847819 ,cutoff:  0.957805922718 ,fpr:  0.000172562553926 ,tpr:  0.042194092827
threshold:  0.162342707 ,cutoff:  0.953586513504 ,fpr:  0.000172562553926 ,tpr:  0.0464135021097
threshold:  0.160591785 ,cutoff:  0.949367104291 ,fpr:  0.000172562553926 ,tpr:  0.0506329113924
threshold:  0.159321813 ,cutoff:  0.945147695078 ,fpr:  0.000172562553926 ,tpr:  0.0548523206751
threshold:  0.159168665 ,cutoff:  0.940928285866 ,fpr:  0.000172562553926 ,tpr:  0.0590717299578
threshold:  0.158984777 ,cutoff:  0.940928333337 ,fpr:  0.000345125107852 ,tpr:  0.0590717299578
threshold:  0.157438479 ,cutoff:  0.936708924339 ,fpr:  0.000345125107852 ,tpr:  0.0632911392405
threshold:  0.156935015 ,cutoff:  0.932489515344 ,fpr:  0.000345125107852 ,tpr:  0.0675105485232
threshold:  0.156253533 ,cutoff:  0.928270106352 ,fpr:  0.000345125107852 ,tpr:  0.0717299578059
threshold:  0.156063457 ,cutoff:  0.924050697362 ,fpr:  0.000345125107852 ,tpr:  0.0759493670886
threshold:  0.154067063 ,cutoff:  0.924050777925 ,fpr:  0.000517687661777 ,tpr:  0.0759493670886
threshold:  0.153860503 ,cutoff:  0.924050890714 ,fpr:  0.000690250215703 ,tpr:  0.0759493670886
threshold:  0.152862013 ,cutoff:  0.919831482614 ,fpr:  0.000690250215703 ,tpr:  0.0801687763713
threshold:  0.152294421 ,cutoff:  0.915612074525 ,fpr:  0.000690250215703 ,tpr:  0.084388185654
threshold:  0.151569732 ,cutoff:  0.911392666446 ,fpr:  0.000690250215703 ,tpr:  0.0886075949367
threshold:  0.150802599 ,cutoff:  0.90717325838 ,fpr:  0.000690250215703 ,tpr:  0.0928270042194
threshold:  0.150393774 ,cutoff:  0.902953850324 ,fpr:  0.000690250215703 ,tpr:  0.0970464135021
threshold:  0.150140426 ,cutoff:  0.89873444228 ,fpr:  0.000690250215703 ,tpr:  0.101265822785
threshold:  0.149058937 ,cutoff:  0.898734591379 ,fpr:  0.000862812769629 ,tpr:  0.101265822785
threshold:  0.146779422 ,cutoff:  0.89451518405 ,fpr:  0.000862812769629 ,tpr:  0.105485232068
threshold:  0.145091964 ,cutoff:  0.890295776739 ,fpr:  0.000862812769629 ,tpr:  0.10970464135
threshold:  0.14439919 ,cutoff:  0.886076369447 ,fpr:  0.000862812769629 ,tpr:  0.113924050633
threshold:  0.144134231 ,cutoff:  0.881856962174 ,fpr:  0.000862812769629 ,tpr:  0.118143459916
threshold:  0.144033457 ,cutoff:  0.877637554921 ,fpr:  0.000862812769629 ,tpr:  0.122362869198
threshold:  0.142703746 ,cutoff:  0.873418147687 ,fpr:  0.000862812769629 ,tpr:  0.126582278481
threshold:  0.142095621 ,cutoff:  0.869198740473 ,fpr:  0.000862812769629 ,tpr:  0.130801687764
threshold:  0.141975934 ,cutoff:  0.869198928897 ,fpr:  0.00103537532355 ,tpr:  0.130801687764
threshold:  0.141875677 ,cutoff:  0.864979522623 ,fpr:  0.00103537532355 ,tpr:  0.135021097046
threshold:  0.141354235 ,cutoff:  0.860760116378 ,fpr:  0.00103537532355 ,tpr:  0.139240506329
threshold:  0.14109646 ,cutoff:  0.856540710163 ,fpr:  0.00103537532355 ,tpr:  0.143459915612
threshold:  0.141088734 ,cutoff:  0.856540936137 ,fpr:  0.00120793787748 ,tpr:  0.143459915612
threshold:  0.140193346 ,cutoff:  0.85232153107 ,fpr:  0.00120793787748 ,tpr:  0.147679324895
threshold:  0.140040869 ,cutoff:  0.848102126046 ,fpr:  0.00120793787748 ,tpr:  0.151898734177
threshold:  0.139420344 ,cutoff:  0.843882721065 ,fpr:  0.00120793787748 ,tpr:  0.15611814346
threshold:  0.139214308 ,cutoff:  0.839663316126 ,fpr:  0.00120793787748 ,tpr:  0.160337552743
threshold:  0.139207053 ,cutoff:  0.835443911232 ,fpr:  0.00120793787748 ,tpr:  0.164556962025
threshold:  0.139084774 ,cutoff:  0.831224506382 ,fpr:  0.00120793787748 ,tpr:  0.168776371308
threshold:  0.138409519 ,cutoff:  0.827005101577 ,fpr:  0.00120793787748 ,tpr:  0.172995780591
threshold:  0.138265081 ,cutoff:  0.822785696818 ,fpr:  0.00120793787748 ,tpr:  0.177215189873
