"","Chi-square","P-value","Odds Ratio (Anaphylaxis/Not)"
"Hypersensitivity",1578.6053530378,0,71.5751475182228
"Dyspnoea",553.355699969683,2.34419119879129e-122,14.4264705882353
"Throat tightness",551.586500910478,5.68673001450425e-122,33.0898408812729
"Pruritus",297.906177047791,9.41781406495885e-67,7.96815589353612
"Chest discomfort",296.263534544997,2.14702995346005e-66,12.7533366287692
"Pharyngeal oedema",251.763025559173,1.07174015572671e-56,20.2966507177034
"Urticaria",231.068272454224,3.48636196105091e-52,6.7191724137931
"Wheezing",205.166737196292,1.55741400000018e-46,10.7784090909091
"Swelling face",203.003800336529,4.61699301373186e-46,13.4755006067961
"Anaphylactic reaction",198.392499086861,4.68415751692397e-45,255.242290748899
"Oedema",181.491478051374,2.28969379778974e-41,7.55
"Swelling",179.02850096723,7.89843546932778e-41,6.02596028891777
"Lip swelling",177.390931136156,1.79932011690499e-40,15.4339369550637
"Discomfort",160.159740622953,1.04411188747569e-36,6.77028197028197
"Swollen tongue",157.551795399169,3.87772150873205e-36,17.9510157273919
"Throat irritation",154.493850576464,1.806359078441e-35,10.6333333333333
"Eye swelling",141.355125565982,1.34551621843344e-32,11.7592829705506
"Tic",122.026765297543,2.27744670563005e-28,4.12792642140468
"Dysphagia",83.9345298890478,5.11434112838625e-20,8.25316820276498
"Vaccination complication",81.7057095621281,1.57936568566624e-19,8.90462651848023
"Rash",68.9336373205077,1.01833053169882e-16,3.16429738562092
"Anxiety",56.3330981658067,6.11768984763252e-14,6.07221973595883
"Paraesthesia oral",51.4059974575373,7.51087326423622e-13,9.35324483775811
"Dermatitis allergic",50.1355862371874,1.4348119349884e-12,Inf
"Oxygen saturation",49.7324188316436,1.762101238145e-12,11.3980263157895
"Flushing",49.3121746990583,2.18303435718627e-12,5.46305071075713
"Allergy to vaccine",44.7621627447864,2.22480648290306e-11,24.9568965517241
"Heart rate increased",41.0702122512051,1.46857559402365e-10,4.76927487649965
"Electrocardiogram normal",40.1178042257838,2.39099828192527e-10,5.60712886799843
"Palpitations",37.2521086312039,1.03802692922142e-09,5.29618659755646
"Dysphonia",36.7245364995733,1.36056173520525e-09,5.53432218006209
"Erythema",34.3126159587276,4.69329493053988e-09,2.51329458323027
"Oxygen saturation normal",33.6519764627968,6.59078776196394e-09,24.8540772532189
"Cough",33.1271741807901,8.6323814947307e-09,2.75467791028392
"Electrocardiogram",32.543420418902,1.16559070006006e-08,3.6220269740892
"Chest pain",31.8973365995957,1.62539871707714e-08,4.01909450287163
"Eye pruritus",31.0635509053294,2.49716850609525e-08,8.06288209606987
"Oedema peripheral",28.6442403840029,8.69722895062765e-08,4.03094245204337
"Rehabilitation therapy",2.22066574367145e-24,0.999999999998811,0
"Oral pruritus",28.1387922438546,1.12919681711672e-07,37.1346153846154
"Blood creatinine",1.76012506189855e-29,0.999999999999997,1.14803685897436
"Angioedema",24.8816914522977,6.09586166930335e-07,11.3322884012539
"Tachycardia",24.1470991047403,8.92505078120216e-07,4.89970501474926
"Ocular hyperaemia",23.5628588817156,1.20898753006923e-06,5.67927631578947
"Dizziness",21.9050103120116,2.86484961799098e-06,2.10334651612124
"Pruritus generalised",20.4153753350718,6.23270293381171e-06,4.68347201827378
"Hyperventilation",20.2891482327223,6.65771232652283e-06,12.4184549356223
"X-ray normal",18.6206688308726,1.59482075435878e-05,3.50400070342038
"Rash erythematous",17.7990602616509,2.45504469002212e-05,3.27904827904828
"Chest X-ray normal",17.0274333932868,3.6843636441454e-05,3.48214285714286
"Non-cardiac chest pain",16.8776746578582,3.98677549879193e-05,49.3106382978723
"Oxygen saturation decreased",16.5054169591622,4.85112802308309e-05,9.931330472103
"NULL",16.0409431152502,6.19874168082194e-05,0.507183795242208
"Adverse drug reaction",15.8408683651799,6.88982129688097e-05,14.8461538461538
"Asthma",14.9401152562002,0.000110977957850081,5.00869565217391
"Hypertension",13.7660406619482,0.000207045242449312,3.90449183303085
"Rhinitis",13.687606510592,0.000215874429162558,8.27324749642346
"Food allergy",13.581335256477,0.000228445677374888,12.3696581196581
"Rash macular",12.9097947830835,0.000326867128568208,3.5015907978463
"Blood glucose increased",12.3965093129158,0.00043013717889233,2.82461385151968
"Bronchial hyperreactivity",11.9507826891608,0.000546244289643705,24.6510638297872
"Oedema mouth",11.9507826891608,0.000546244289643705,24.6510638297872
"Dry throat",11.7817525335956,0.000598141462241629,10.6007326007326
"Periorbital oedema",2.35322433689264,0.125024173192343,24.5508474576271
"Chest X-ray",10.7498815611727,0.00104285993012409,2.36037934668072
"Paraesthesia",10.4623554906533,0.00121831830132674,1.97012452299659
"Tension",9.77742589137201,0.00176667472657338,2.85913694006021
"Pyrexia",9.46017558362572,0.00209980971233566,0.455183223435304
"Feeling abnormal",9.42437986723454,0.00214119494511627,2.95931588494429
"Presyncope",9.41418384573851,0.00215313376584873,4.15512265512266
"Altered state of consciousness",9.01083219504214,0.00268384189918704,16.4312056737589
"Respiratory rate decreased",9.01083219504214,0.00268384189918704,16.4312056737589
"Rhinitis allergic",9.01083219504214,0.00268384189918704,16.4312056737589
"Red blood cell count normal",9.01083219504214,0.00268384189918704,16.4312056737589
"Respiration abnormal",9.01083219504214,0.00268384189918704,16.4312056737589
"House dust allergy",2.35322433689264,0.125024173192343,24.5508474576271
"X-ray",8.95855138367612,0.00276173793148845,2.11486460753323
"Eyelid oedema",8.39551571756582,0.00376147779127303,5.50977587029089
"Hypoaesthesia oral",8.26089972636916,0.00405080469846367,3.83349983349983
"Feeling hot",8.22254633201781,0.0041373106546201,2.63758954909397
"Face oedema",8.0813135524949,0.00447240160694849,7.41666666666667
"Immediate post-injection reaction",7.72106080974873,0.00545803164779592,2.29963310232369
"Blood glucose",7.72106080974873,0.00545803164779592,2.29963310232369
"Nuclear magnetic resonance imaging",7.54790170594038,0.0060079994162005,0
"Stridor",7.06435915273611,0.00786324353238717,12.3212765957447
"No reaction on previous exposure to drug",6.74537178696539,0.00939911878294309,4.72021254853873
"Blood pressure",5.9712268479282,0.014541160620263,2.41062351745171
"Dermatitis",5.813875638928,0.0159002152618312,5.70216962524655
"Feeling jittery",5.68559327059256,0.0171047553646736,9.85531914893617
"Lymph node palpable",5.62402589466793,0.0177159087751587,Inf
"Activated partial thromboplastin time shortened",5.62402589466793,0.0177159087751587,Inf
